"Source:","C:\Users\natha\Documents\Scolarite\ENSEA\cfrobotique\Projet\2324_Projet2A_AresCFR\2A\Electronique\Schema Electronique 2223\puissanceok_papazoglou\puissanceok.kicad_sch"
"Date:","30/01/2024 17:35:17"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Farnell","MFR","MPN","Vmax"
"1","1","C101","10u","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x5.4","https://www.we-online.com/components/products/datasheet/865060440001.pdf","","","","865060440001","25V"
"2","6","C201, C401, C501, C701, C901, C903","100n","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"3","2","C301, C601","100u","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","https://www.we-online.com/components/products/datasheet/865060445005.pdf","","","","865060445005","25V"
"4","4","C302, C303, C602, C603","10n","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"5","4","C304, C305, C604, C605","22u","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x5.4","https://www.we-online.com/components/products/datasheet/865060240001.pdf","","","865060240001","","10V"
"6","1","C902","100u","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_6.3x7.7","~","","","","865060445005","25V"
"7","1","D101","TVS 20.5V","Diode:1.5KExxCA","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/sm6t24a.pdf","","","","SM6T24A",""
"8","4","D102, D103, D104, D105","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","",""
"9","2","D301, D601","D_Schottky","Device:D_Schottky","custom:DST10100S","https://www.mouser.fr/datasheet/2/240/media-3323546.pdf","","","","DST10100S",""
"10","4","H101, H102, H103, H104","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","",""
"11","1","J101","Bat 2","Connector_Generic:Conn_01x02","custom:691322110002","https://www.we-online.com/components/products/datasheet/691322110002.pdf","","","","691322110002",""
"12","1","J102","Bat 1","Connector_Generic:Conn_01x02","custom:691322110002","https://www.we-online.com/components/products/datasheet/691322110002.pdf","","","","691322110002",""
"13","1","J103","AU","Connector_Generic:Conn_01x02","custom:691322110002","https://www.we-online.com/components/products/datasheet/691322110002.pdf","","","","691322110002",""
"14","1","J104","Switch","Connector_Generic:Conn_01x02","custom:691322110002","https://www.we-online.com/components/products/datasheet/691322110002.pdf","","","","691322110002",""
"15","1","J105","Conn_RPI","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","","","","",""
"16","1","J106","Conn_Phidget_PS_Stepper_1","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","",""
"17","1","J107","Conn_Phidget_PS_Stepper_2","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","",""
"18","1","J108","Conn_Phidget_PS_Stepper_3","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","",""
"19","1","J109","Conn_Phidget_PS_Stepper_4","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","",""
"20","1","J110","Conn_01x02","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","",""
"21","1","J111","Conn_GND","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","",""
"22","1","J112","Conn_GPIO_unused","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","",""
"23","1","J113","Conn_3.3V","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","",""
"24","2","J114, J115","Conn_01x05","Connector_Generic:Conn_01x05","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~","","","","",""
"25","4","J201, J401, J501, J701","Conn_FDC","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","",""
"26","3","J801, J1001, J1101","Conn_UART","Connector_Generic:Conn_01x04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~","","","","",""
"27","1","J901","Conn_XL320","Connector_Generic:Conn_01x03","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~","","","","",""
"28","2","L301, L601","22m","Device:L_Small","Inductor_SMD:L_Changjiang_FNR8065S","~","","","7447709220","",""
"29","1","R101","4k7","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"30","1","R102","1k8","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"31","6","R103, R104, R202, R402, R502, R702","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"32","4","R201, R401, R501, R701","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"33","2","R301, R601","2.7k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"34","2","R302, R602","2k87","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"35","2","R303, R603","2k2","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"36","3","R901, R902, R903","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"37","1","TP101","TestPoint","Connector:TestPoint","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","",""
"38","1","TP102","5.1V","Connector:TestPoint","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","",""
"39","1","TP103","7.4V","Connector:TestPoint","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","",""
"40","1","TP104","3V3","Connector:TestPoint","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","",""
"41","2","U301, U601","LT1076CR-PBF",":LT1076_1","Package_TO_SOT_SMD:TO-263-7_TabPin4","https://www.mouser.fr/datasheet/2/609/1074fds-3123169.pdf","","","","",""
"42","1","U901","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_2.3x2mm_P0.5mm","https://4donline.ihs.com/images/VipMasterIC/IC/PHGL/PHGLS27073/PHGLS27073-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","https://fr.farnell.com/nexperia/74lvc2g241dc-125/buffer-driver-de-ligne-40-a-125/dp/3442085?st=74LVC2G241DC,125","","",""
